"Measurement.number","Individual","Value","Group","Index"
1,"Elson.24.4",0.7070151,"Elson",1
3,"Elson.24.4",0.7086686,"Elson",2
4,"Elson.24.4",0.7076178,"Elson",3
5,"Elson.24.4",0.7099102,"Elson",4
6,"Elson.24.4",0.7091085,"Elson",5
7,"Elson.24.4",0.7081159,"Elson",6
8,"Elson.24.4",0.7088261,"Elson",7
9,"Elson.24.4",0.7084425,"Elson",8
10,"Elson.24.4",0.7091867,"Elson",9
11,"Elson.24.4",0.709748,"Elson",10
12,"Elson.24.4",0.7089755,"Elson",11
13,"Elson.24.4",0.7101635,"Elson",12
14,"Elson.24.4",0.7101096,"Elson",13
15,"Elson.24.4",0.7095921,"Elson",14
16,"Elson.24.4",0.7088077,"Elson",15
17,"Elson.24.4",0.7101186,"Elson",16
18,"Elson.24.4",0.7093915,"Elson",17
19,"Elson.24.4",0.7109059,"Elson",18
20,"Elson.24.4",0.7089861,"Elson",19
21,"Elson.24.4",0.7094461,"Elson",20
22,"Elson.24.4",0.7095926,"Elson",21
23,"Elson.24.4",0.7094922,"Elson",22
24,"Elson.24.4",0.7103168,"Elson",23
25,"Elson.24.4",0.7086172,"Elson",24
26,"Elson.24.4",0.7097621,"Elson",25
27,"Elson.24.4",0.7088926,"Elson",26
28,"Elson.24.4",0.7084664,"Elson",27
29,"Elson.24.4",0.7095007,"Elson",28
30,"Elson.24.4",0.7090238,"Elson",29
31,"Elson.24.4",0.7090319,"Elson",30
32,"Elson.24.4",0.709686,"Elson",31
33,"Elson.24.4",0.7088663,"Elson",32
34,"Elson.24.4",0.7084695,"Elson",33
35,"Elson.24.4",0.7095844,"Elson",34
36,"Elson.24.4",0.7088896,"Elson",35
37,"Elson.24.4",0.709291,"Elson",36
38,"Elson.24.4",0.7087833,"Elson",37
39,"Elson.24.4",0.7085072,"Elson",38
40,"Elson.24.4",0.7086699,"Elson",39
41,"Elson.24.4",0.7087898,"Elson",40
42,"Elson.24.4",0.7092428,"Elson",41
43,"Elson.24.4",0.7087456,"Elson",42
44,"Elson.24.4",0.7081241,"Elson",43
45,"Elson.24.4",0.7090379,"Elson",44
46,"Elson.24.4",0.7092689,"Elson",45
47,"Elson.24.4",0.7077045,"Elson",46
48,"Elson.24.4",0.7084534,"Elson",47
49,"Elson.24.4",0.7084034,"Elson",48
50,"Elson.24.4",0.7088496,"Elson",49
51,"Elson.24.4",0.708494,"Elson",50
52,"Elson.24.4",0.7089329,"Elson",51
53,"Elson.24.4",0.7090082,"Elson",52
54,"Elson.24.4",0.7087484,"Elson",53
55,"Elson.24.4",0.707733,"Elson",54
56,"Elson.24.4",0.708581,"Elson",55
57,"Elson.24.4",0.7082697,"Elson",56
58,"Elson.24.4",0.7080399,"Elson",57
59,"Elson.24.4",0.7086923,"Elson",58
60,"Elson.24.4",0.7089317,"Elson",59
61,"Elson.24.4",0.7080406,"Elson",60
62,"Elson.24.4",0.7079189,"Elson",61
63,"Elson.24.4",0.7085452,"Elson",62
64,"Elson.24.4",0.7086613,"Elson",63
65,"Elson.24.4",0.7079515,"Elson",64
66,"Elson.24.4",0.7083368,"Elson",65
67,"Elson.24.4",0.7083633,"Elson",66
68,"Elson.24.4",0.708652,"Elson",67
69,"Elson.24.4",0.7085529,"Elson",68
70,"Elson.24.4",0.709141,"Elson",69
71,"Elson.24.4",0.7082837,"Elson",70
72,"Elson.24.4",0.7086542,"Elson",71
73,"Elson.24.4",0.7080318,"Elson",72
74,"Elson.24.4",0.708657,"Elson",73
75,"Elson.24.4",0.7085052,"Elson",74
76,"Elson.24.4",0.7077028,"Elson",75
77,"Elson.24.4",0.7087278,"Elson",76
78,"Elson.24.4",0.7085917,"Elson",77
79,"Elson.24.4",0.7084621,"Elson",78
80,"Elson.24.4",0.7085434,"Elson",79
81,"Elson.24.4",0.7095354,"Elson",80
82,"Elson.24.4",0.7090623,"Elson",81
83,"Elson.24.4",0.7078707,"Elson",82
84,"Elson.24.4",0.7084283,"Elson",83
85,"Elson.24.4",0.707734,"Elson",84
86,"Elson.24.4",0.709215,"Elson",85
87,"Elson.24.4",0.7081037,"Elson",86
88,"Elson.24.4",0.7078484,"Elson",87
89,"Elson.24.4",0.708668,"Elson",88
90,"Elson.24.4",0.7094505,"Elson",89
91,"Elson.24.4",0.7083689,"Elson",90
92,"Elson.24.4",0.7083338,"Elson",91
93,"Elson.24.4",0.7084636,"Elson",92
94,"Elson.24.4",0.7090422,"Elson",93
95,"Elson.24.4",0.7094531,"Elson",94
96,"Elson.24.4",0.7086141,"Elson",95
97,"Elson.24.4",0.7078934,"Elson",96
98,"Elson.24.4",0.7080487,"Elson",97
99,"Elson.24.4",0.70902,"Elson",98
100,"Elson.24.4",0.7084624,"Elson",99
101,"Elson.24.4",0.7089112,"Elson",100
102,"Elson.24.4",0.7093657,"Elson",101
103,"Elson.24.4",0.708432,"Elson",102
104,"Elson.24.4",0.7092634,"Elson",103
105,"Elson.24.4",0.7085119,"Elson",104
106,"Elson.24.4",0.708619,"Elson",105
107,"Elson.24.4",0.7090216,"Elson",106
108,"Elson.24.4",0.7090142,"Elson",107
109,"Elson.24.4",0.707439,"Elson",108
110,"Elson.24.4",0.7064992,"Elson",109
111,"Elson.24.4",0.7094713,"Elson",110
112,"Elson.24.4",0.709117,"Elson",111
113,"Elson.24.4",0.7092782,"Elson",112
114,"Elson.24.4",0.7085367,"Elson",113
115,"Elson.24.4",0.7093853,"Elson",114
116,"Elson.24.4",0.7089677,"Elson",115
117,"Elson.24.4",0.7087836,"Elson",116
118,"Elson.24.4",0.7085342,"Elson",117
119,"Elson.24.4",0.7089126,"Elson",118
120,"Elson.24.4",0.7084492,"Elson",119
121,"Elson.24.4",0.7085564,"Elson",120
122,"Elson.24.4",0.7095358,"Elson",121
123,"Elson.24.4",0.7089457,"Elson",122
124,"Elson.24.4",0.7092123,"Elson",123
125,"Elson.24.4",0.7089727,"Elson",124
126,"Elson.24.4",0.709517,"Elson",125
127,"Elson.24.4",0.7091611,"Elson",126
128,"Elson.24.4",0.7090137,"Elson",127
129,"Elson.24.4",0.7090936,"Elson",128
130,"Elson.24.4",0.7078553,"Elson",129
131,"Elson.24.4",0.7080386,"Elson",130
132,"Elson.24.4",0.7093037,"Elson",131
133,"Elson.24.4",0.7087567,"Elson",132
134,"Elson.24.4",0.7085968,"Elson",133
135,"Elson.24.4",0.7084256,"Elson",134
136,"Elson.24.4",0.7077406,"Elson",135
137,"Elson.24.4",0.7088585,"Elson",136
138,"Elson.24.4",0.7082843,"Elson",137
139,"Elson.24.4",0.7089854,"Elson",138
140,"Elson.24.4",0.7087403,"Elson",139
141,"Elson.24.4",0.7080999,"Elson",140
142,"Elson.24.4",0.7083185,"Elson",141
143,"Elson.24.4",0.7097922,"Elson",142
144,"Elson.24.4",0.7099065,"Elson",143
145,"Elson.24.4",0.7085446,"Elson",144
146,"Elson.24.4",0.7090143,"Elson",145
147,"Elson.24.4",0.7087829,"Elson",146
148,"Elson.24.4",0.7081876,"Elson",147
149,"Elson.24.4",0.70863,"Elson",148
150,"Elson.24.4",0.7087033,"Elson",149
151,"Elson.24.4",0.7077743,"Elson",150
152,"Elson.24.4",0.7086238,"Elson",151
153,"Elson.24.4",0.7089467,"Elson",152
154,"Elson.24.4",0.7080944,"Elson",153
155,"Elson.24.4",0.7087893,"Elson",154
156,"Elson.24.4",0.7082564,"Elson",155
157,"Elson.24.4",0.7086723,"Elson",156
158,"Elson.24.4",0.7084683,"Elson",157
159,"Elson.24.4",0.708981,"Elson",158
160,"Elson.24.4",0.7081862,"Elson",159
161,"Elson.24.4",0.7088136,"Elson",160
162,"Elson.24.4",0.7079009,"Elson",161
163,"Elson.24.4",0.7085887,"Elson",162
164,"Elson.24.4",0.7086495,"Elson",163
165,"Elson.24.4",0.7083801,"Elson",164
167,"Elson.24.4",0.7086744,"Elson",165
168,"Elson.24.4",0.7088373,"Elson",166
169,"Elson.24.4",0.7087644,"Elson",167
170,"Elson.24.4",0.7075546,"Elson",168
171,"Elson.24.4",0.7082766,"Elson",169
172,"Elson.24.4",0.7082062,"Elson",170
173,"Elson.24.4",0.7084901,"Elson",171
174,"Elson.24.4",0.7084925,"Elson",172
175,"Elson.24.4",0.7091376,"Elson",173
176,"Elson.24.4",0.7080878,"Elson",174
177,"Elson.24.4",0.7088373,"Elson",175
178,"Elson.24.4",0.7084893,"Elson",176
179,"Elson.24.4",0.7086099,"Elson",177
180,"Elson.24.4",0.7091951,"Elson",178
181,"Elson.24.4",0.7097157,"Elson",179
182,"Elson.24.4",0.7084467,"Elson",180
183,"Elson.24.4",0.7089582,"Elson",181
184,"Elson.24.4",0.7083365,"Elson",182
185,"Elson.24.4",0.70842,"Elson",183
186,"Elson.24.4",0.7086501,"Elson",184
187,"Elson.24.4",0.7088624,"Elson",185
188,"Elson.24.4",0.7096359,"Elson",186
189,"Elson.24.4",0.7088516,"Elson",187
190,"Elson.24.4",0.7087692,"Elson",188
191,"Elson.24.4",0.7089524,"Elson",189
192,"Elson.24.4",0.708201,"Elson",190
193,"Elson.24.4",0.7092824,"Elson",191
194,"Elson.24.4",0.7091199,"Elson",192
195,"Elson.24.4",0.7097806,"Elson",193
196,"Elson.24.4",0.7084587,"Elson",194
197,"Elson.24.4",0.7094501,"Elson",195
198,"Elson.24.4",0.7093779,"Elson",196
199,"Elson.24.4",0.7086654,"Elson",197
200,"Elson.24.4",0.7088876,"Elson",198
201,"Elson.24.4",0.709153,"Elson",199
202,"Elson.24.4",0.709439,"Elson",200
203,"Elson.24.4",0.7092248,"Elson",201
204,"Elson.24.4",0.7098492,"Elson",202
205,"Elson.24.4",0.7083058,"Elson",203
206,"Elson.24.4",0.7097922,"Elson",204
207,"Elson.24.4",0.7084212,"Elson",205
208,"Elson.24.4",0.7099608,"Elson",206
209,"Elson.24.4",0.7092349,"Elson",207
210,"Elson.24.4",0.7097484,"Elson",208
211,"Elson.24.4",0.7082991,"Elson",209
212,"Elson.24.4",0.7092309,"Elson",210
213,"Elson.24.4",0.7091424,"Elson",211
214,"Elson.24.4",0.7095535,"Elson",212
215,"Elson.24.4",0.709467,"Elson",213
216,"Elson.24.4",0.7089535,"Elson",214
217,"Elson.24.4",0.7088108,"Elson",215
218,"Elson.24.4",0.7096465,"Elson",216
219,"Elson.24.4",0.7092682,"Elson",217
220,"Elson.24.4",0.7093999,"Elson",218
221,"Elson.24.4",0.7089059,"Elson",219
222,"Elson.24.4",0.7090304,"Elson",220
223,"Elson.24.4",0.7090984,"Elson",221
224,"Elson.24.4",0.7090181,"Elson",222
225,"Elson.24.4",0.7084652,"Elson",223
226,"Elson.24.4",0.7097264,"Elson",224
227,"Elson.24.4",0.7084603,"Elson",225
228,"Elson.24.4",0.7091849,"Elson",226
229,"Elson.24.4",0.708857,"Elson",227
230,"Elson.24.4",0.7095805,"Elson",228
231,"Elson.24.4",0.7091327,"Elson",229
232,"Elson.24.4",0.708975,"Elson",230
233,"Elson.24.4",0.708776,"Elson",231
234,"Elson.24.4",0.7088905,"Elson",232
235,"Elson.24.4",0.7088556,"Elson",233
236,"Elson.24.4",0.7098594,"Elson",234
237,"Elson.24.4",0.7084309,"Elson",235
238,"Elson.24.4",0.7093846,"Elson",236
239,"Elson.24.4",0.70902,"Elson",237
240,"Elson.24.4",0.7089139,"Elson",238
241,"Elson.24.4",0.7087827,"Elson",239
242,"Elson.24.4",0.7090608,"Elson",240
243,"Elson.24.4",0.708646,"Elson",241
244,"Elson.24.4",0.7095067,"Elson",242
245,"Elson.24.4",0.709393,"Elson",243
246,"Elson.24.4",0.7093565,"Elson",244
247,"Elson.24.4",0.7094562,"Elson",245
248,"Elson.24.4",0.7088788,"Elson",246
249,"Elson.24.4",0.7089844,"Elson",247
250,"Elson.24.4",0.709122,"Elson",248
251,"Elson.24.4",0.7090852,"Elson",249
252,"Elson.24.4",0.7097224,"Elson",250
253,"Elson.24.4",0.7092965,"Elson",251
254,"Elson.24.4",0.7098617,"Elson",252
255,"Elson.24.4",0.7089595,"Elson",253
256,"Elson.24.4",0.709587,"Elson",254
257,"Elson.24.4",0.708962,"Elson",255
258,"Elson.24.4",0.7086865,"Elson",256
259,"Elson.24.4",0.709258,"Elson",257
260,"Elson.24.4",0.7088959,"Elson",258
261,"Elson.24.4",0.7090375,"Elson",259
262,"Elson.24.4",0.709444,"Elson",260
263,"Elson.24.4",0.7093095,"Elson",261
264,"Elson.24.4",0.7091735,"Elson",262
265,"Elson.24.4",0.7087241,"Elson",263
266,"Elson.24.4",0.7079956,"Elson",264
267,"Elson.24.4",0.7090154,"Elson",265
268,"Elson.24.4",0.7091824,"Elson",266
269,"Elson.24.4",0.7096018,"Elson",267
270,"Elson.24.4",0.7086898,"Elson",268
271,"Elson.24.4",0.7092705,"Elson",269
272,"Elson.24.4",0.7094165,"Elson",270
273,"Elson.24.4",0.7084092,"Elson",271
274,"Elson.24.4",0.7096172,"Elson",272
275,"Elson.24.4",0.7093672,"Elson",273
276,"Elson.24.4",0.7093252,"Elson",274
277,"Elson.24.4",0.7084262,"Elson",275
278,"Elson.24.4",0.7100837,"Elson",276
279,"Elson.24.4",0.7097038,"Elson",277
280,"Elson.24.4",0.70844,"Elson",278
281,"Elson.24.4",0.7101888,"Elson",279
282,"Elson.24.4",0.7090297,"Elson",280
283,"Elson.24.4",0.7091456,"Elson",281
284,"Elson.24.4",0.7105659,"Elson",282
285,"Elson.24.4",0.7072967,"Elson",283
287,"Elson.24.4",0.7048032,"Elson",284
288,"Elson.24.4",0.7077901,"Elson",285
